label,filepath
ham,data/114/042
ham,data/078/098
ham,data/042/124
spam,data/019/014
spam,data/085/062
spam,data/028/159
spam,data/025/024
ham,data/071/017
ham,data/006/247
spam,data/121/204
spam,data/040/013
ham,data/071/037
spam,data/005/017
spam,data/022/020
spam,data/124/246
ham,data/014/141
spam,data/078/259
ham,data/043/158
spam,data/039/081
spam,data/067/164
spam,data/104/159
ham,data/045/018
spam,data/060/215
spam,data/038/080
spam,data/035/070
ham,data/037/252
spam,data/110/050
spam,data/002/247
spam,data/039/277
spam,data/055/072
spam,data/120/291
ham,data/105/011
spam,data/008/166
spam,data/080/134
spam,data/028/278
spam,data/113/191
spam,data/125/015
spam,data/122/052
spam,data/054/032
spam,data/070/264
ham,data/024/270
spam,data/124/026
spam,data/063/030
spam,data/108/247
spam,data/082/114
ham,data/024/122
spam,data/014/255
spam,data/029/099
spam,data/037/114
spam,data/111/125
spam,data/062/080
ham,data/116/254
spam,data/099/195
ham,data/046/199
spam,data/049/226
spam,data/125/032
spam,data/020/256
spam,data/062/221
spam,data/091/034
spam,data/033/227
ham,data/090/090
spam,data/075/087
ham,data/072/262
ham,data/063/019
spam,data/114/102
ham,data/023/188
spam,data/052/210
ham,data/079/071
spam,data/101/286
spam,data/034/237
spam,data/028/023
spam,data/069/083
ham,data/120/015
spam,data/098/135
spam,data/028/037
spam,data/036/009
ham,data/102/255
spam,data/121/287
spam,data/032/099
spam,data/039/250
ham,data/042/158
ham,data/042/010
ham,data/071/071
ham,data/079/167
spam,data/035/086
ham,data/082/198
ham,data/072/076
spam,data/018/053
spam,data/089/151
ham,data/006/052
spam,data/077/193
spam,data/011/086
ham,data/067/238
spam,data/024/003
ham,data/076/154
ham,data/061/147
ham,data/066/138
ham,data/039/240
ham,data/064/159
spam,data/028/182
spam,data/058/251
spam,data/057/190
spam,data/081/297
spam,data/043/258
ham,data/080/279
spam,data/072/188
ham,data/002/252
spam,data/011/201
spam,data/023/212
ham,data/038/262
spam,data/054/156
ham,data/059/064
ham,data/108/001
ham,data/035/060
spam,data/109/169
spam,data/067/064
spam,data/104/145
spam,data/061/186
spam,data/110/219
spam,data/057/233
ham,data/073/203
ham,data/047/162
spam,data/100/102
ham,data/068/262
spam,data/081/276
spam,data/044/057
spam,data/009/283
spam,data/083/065
ham,data/091/166
ham,data/035/028
spam,data/044/209
ham,data/028/085
ham,data/101/210
spam,data/027/053
spam,data/037/211
ham,data/006/044
ham,data/082/220
ham,data/005/251
spam,data/031/187
spam,data/043/184
spam,data/065/005
spam,data/055/249
spam,data/114/117
spam,data/111/171
spam,data/035/241
ham,data/035/190
spam,data/026/135
spam,data/061/002
ham,data/113/039
ham,data/098/083
spam,data/104/202
spam,data/071/145
spam,data/096/224
spam,data/106/209
spam,data/028/112
ham,data/037/295
spam,data/073/089
spam,data/089/115
spam,data/120/188
ham,data/074/158
ham,data/000/133
ham,data/104/013
ham,data/043/230
spam,data/035/043
spam,data/087/095
ham,data/033/246
spam,data/024/102
spam,data/067/107
ham,data/114/190
spam,data/054/062
spam,data/123/123
spam,data/064/068
ham,data/055/206
spam,data/056/176
ham,data/060/073
spam,data/087/035
spam,data/033/247
spam,data/088/163
spam,data/064/100
spam,data/105/115
spam,data/093/039
ham,data/088/060
ham,data/015/001
spam,data/014/215
spam,data/125/197
ham,data/121/176
ham,data/077/125
ham,data/014/183
spam,data/117/000
ham,data/118/123
spam,data/081/176
spam,data/030/213
ham,data/070/250
spam,data/060/153
ham,data/108/039
ham,data/017/286
ham,data/067/057
ham,data/104/287
spam,data/056/107
ham,data/022/048
spam,data/111/039
spam,data/066/151
spam,data/122/269
ham,data/007/036
spam,data/075/269
spam,data/093/113
ham,data/003/166
spam,data/050/091
spam,data/052/216
ham,data/021/014
ham,data/002/271
spam,data/089/117
spam,data/050/087
ham,data/102/127
ham,data/043/082
spam,data/125/298
ham,data/024/116
spam,data/034/128
spam,data/070/249
ham,data/053/113
spam,data/007/121
spam,data/102/082
spam,data/108/281
spam,data/111/139
spam,data/025/023
ham,data/013/281
ham,data/102/205
spam,data/061/299
spam,data/090/161
ham,data/118/208
ham,data/056/184
spam,data/116/258
ham,data/003/272
spam,data/005/075
ham,data/113/149
spam,data/049/238
spam,data/019/229
ham,data/117/246
spam,data/104/038
spam,data/019/122
spam,data/061/205
ham,data/063/255
spam,data/108/063
ham,data/049/104
spam,data/100/156
spam,data/078/020
ham,data/104/054
ham,data/090/158
spam,data/007/172
spam,data/009/195
spam,data/030/066
spam,data/121/120
spam,data/101/283
spam,data/083/024
spam,data/020/273
spam,data/042/053
spam,data/006/224
spam,data/007/072
spam,data/096/088
ham,data/003/143
spam,data/060/048
spam,data/045/015
spam,data/117/232
spam,data/106/194
ham,data/028/093
spam,data/086/050
spam,data/106/066
ham,data/072/070
spam,data/017/099
ham,data/093/208
spam,data/012/057
spam,data/015/194
spam,data/012/293
ham,data/056/073
spam,data/090/218
ham,data/066/068
ham,data/065/256
spam,data/031/070
spam,data/096/034
ham,data/018/159
ham,data/045/109
spam,data/117/049
spam,data/096/188
spam,data/081/065
spam,data/020/141
spam,data/100/155
ham,data/068/052
spam,data/059/292
spam,data/113/190
spam,data/089/267
spam,data/114/064
spam,data/110/208
spam,data/068/168
ham,data/044/255
ham,data/002/198
spam,data/058/266
spam,data/064/209
spam,data/006/225
ham,data/020/137
spam,data/055/224
ham,data/033/238
spam,data/042/248
ham,data/059/099
ham,data/065/224
spam,data/058/181
spam,data/029/005
ham,data/097/006
spam,data/081/156
spam,data/087/032
spam,data/038/148
spam,data/119/060
spam,data/047/108
spam,data/097/005
ham,data/119/196
spam,data/077/291
spam,data/017/130
spam,data/111/042
spam,data/027/122
spam,data/118/075
spam,data/054/264
spam,data/037/227
spam,data/063/199
ham,data/021/082
spam,data/000/123
spam,data/067/168
spam,data/021/002
spam,data/110/299
spam,data/123/134
spam,data/045/105
ham,data/036/149
ham,data/094/162
ham,data/041/126
ham,data/037/275
ham,data/060/268
spam,data/124/109
spam,data/113/291
spam,data/045/251
spam,data/118/051
ham,data/106/164
spam,data/095/028
ham,data/050/282
spam,data/011/299
ham,data/036/235
ham,data/061/126
spam,data/059/095
spam,data/040/273
spam,data/067/043
spam,data/098/209
spam,data/102/062
ham,data/104/129
ham,data/021/142
ham,data/003/144
spam,data/069/210
ham,data/043/096
ham,data/024/278
spam,data/010/073
ham,data/050/294
ham,data/025/214
ham,data/005/183
spam,data/023/205
ham,data/032/113
ham,data/026/217
spam,data/053/051
spam,data/078/227
spam,data/005/132
spam,data/072/145
spam,data/072/194
spam,data/066/107
spam,data/021/221
spam,data/029/113
ham,data/020/173
ham,data/083/240
spam,data/060/203
spam,data/018/245
ham,data/097/037
ham,data/055/221
spam,data/061/183
spam,data/086/095
ham,data/111/079
spam,data/028/009
spam,data/020/005
ham,data/046/129
ham,data/031/161
spam,data/106/261
ham,data/071/285
spam,data/089/125
spam,data/087/120
spam,data/064/258
ham,data/115/132
ham,data/123/172
spam,data/078/225
spam,data/072/295
spam,data/060/042
ham,data/080/225
spam,data/012/298
spam,data/125/210
spam,data/077/222
spam,data/000/022
spam,data/115/269
spam,data/099/009
spam,data/120/225
spam,data/122/139
spam,data/038/097
spam,data/021/216
ham,data/036/079
spam,data/098/009
spam,data/049/164
ham,data/122/019
spam,data/014/224
ham,data/043/109
ham,data/065/050
spam,data/076/223
ham,data/121/296
spam,data/114/225
spam,data/114/108
ham,data/009/047
spam,data/090/134
ham,data/009/081
spam,data/011/070
spam,data/037/233
spam,data/090/142
ham,data/085/046
spam,data/052/036
spam,data/071/220
spam,data/041/190
ham,data/041/291
spam,data/094/032
spam,data/122/154
spam,data/047/195
spam,data/079/156
spam,data/098/267
spam,data/114/100
spam,data/009/182
spam,data/042/134
ham,data/039/295
spam,data/045/066
spam,data/120/036
ham,data/116/244
ham,data/059/008
spam,data/033/076
spam,data/035/074
ham,data/048/286
ham,data/024/239
spam,data/014/198
spam,data/106/144
spam,data/035/041
spam,data/084/153
ham,data/047/096
spam,data/102/172
spam,data/096/234
ham,data/017/231
spam,data/039/146
spam,data/102/036
ham,data/064/211
spam,data/054/110
ham,data/110/051
spam,data/029/299
ham,data/095/073
spam,data/089/182
ham,data/035/088
spam,data/029/290
spam,data/119/140
spam,data/068/049
spam,data/105/013
ham,data/030/044
ham,data/124/086
spam,data/043/245
spam,data/067/182
ham,data/037/234
spam,data/039/204
spam,data/039/176
spam,data/073/169
spam,data/002/204
ham,data/081/038
spam,data/118/168
ham,data/077/122
spam,data/111/223
ham,data/107/205
spam,data/023/080
spam,data/063/085
spam,data/011/258
ham,data/029/062
ham,data/023/153
ham,data/106/115
spam,data/058/143
ham,data/066/215
ham,data/115/152
spam,data/093/021
ham,data/063/206
ham,data/096/058
ham,data/048/262
spam,data/037/105
ham,data/009/260
ham,data/035/256
ham,data/103/289
spam,data/106/297
spam,data/086/235
ham,data/041/223
spam,data/125/196
spam,data/011/129
spam,data/086/098
spam,data/015/161
spam,data/065/289
ham,data/058/113
ham,data/106/239
ham,data/020/284
spam,data/015/108
spam,data/006/122
spam,data/103/019
spam,data/011/115
spam,data/078/012
spam,data/093/162
spam,data/076/102
spam,data/000/282
spam,data/080/133
spam,data/024/250
ham,data/121/073
spam,data/084/113
ham,data/006/180
ham,data/072/276
spam,data/034/063
ham,data/060/243
spam,data/100/283
spam,data/086/172
spam,data/114/039
spam,data/057/262
spam,data/099/238
ham,data/073/029
ham,data/090/192
ham,data/059/251
ham,data/044/281
ham,data/009/297
ham,data/070/237
spam,data/074/011
spam,data/062/191
spam,data/078/197
spam,data/059/120
spam,data/114/175
ham,data/071/256
spam,data/100/165
ham,data/111/266
spam,data/003/093
spam,data/061/060
ham,data/016/132
ham,data/004/273
ham,data/019/245
spam,data/092/142
spam,data/030/230
spam,data/054/040
spam,data/095/293
spam,data/051/043
spam,data/037/223
ham,data/087/225
spam,data/073/045
ham,data/076/037
spam,data/113/051
ham,data/066/163
spam,data/025/272
spam,data/059/282
ham,data/086/118
ham,data/080/058
spam,data/053/221
spam,data/012/085
spam,data/011/279
spam,data/064/165
spam,data/040/096
spam,data/040/071
ham,data/007/144
spam,data/002/020
ham,data/001/234
ham,data/050/223
spam,data/057/127
spam,data/097/209
ham,data/014/166
ham,data/010/185
ham,data/089/181
spam,data/068/031
spam,data/082/205
spam,data/070/062
spam,data/100/019
ham,data/052/126
spam,data/049/246
spam,data/030/241
spam,data/060/133
spam,data/048/242
ham,data/121/264
ham,data/107/094
ham,data/067/235
ham,data/057/044
ham,data/014/112
ham,data/048/136
ham,data/106/292
spam,data/052/010
ham,data/004/066
spam,data/072/064
ham,data/025/046
spam,data/015/247
ham,data/048/271
spam,data/035/253
ham,data/041/114
ham,data/096/035
ham,data/055/161
spam,data/103/125
ham,data/076/248
ham,data/084/288
spam,data/030/110
ham,data/060/128
ham,data/026/206
spam,data/000/288
spam,data/012/238
spam,data/064/108
ham,data/089/242
spam,data/109/190
ham,data/068/166
spam,data/075/011
spam,data/091/230
spam,data/041/273
ham,data/085/274
spam,data/076/123
ham,data/002/282
ham,data/090/098
spam,data/009/161
ham,data/108/187
spam,data/101/288
spam,data/112/063
ham,data/092/221
spam,data/111/083
spam,data/027/075
spam,data/023/173
spam,data/006/083
ham,data/007/125
ham,data/106/013
spam,data/079/152
spam,data/049/075
spam,data/081/224
spam,data/100/254
spam,data/061/290
spam,data/062/147
spam,data/099/132
spam,data/054/052
spam,data/118/142
spam,data/051/237
ham,data/102/122
ham,data/009/014
spam,data/098/054
spam,data/097/059
ham,data/027/257
spam,data/069/297
ham,data/069/249
spam,data/113/171
spam,data/067/290
ham,data/084/281
ham,data/070/185
spam,data/068/104
ham,data/055/120
spam,data/055/199
ham,data/067/292
ham,data/113/101
ham,data/039/216
spam,data/063/237
ham,data/075/130
ham,data/057/061
spam,data/078/137
spam,data/104/120
ham,data/057/087
ham,data/014/219
ham,data/094/000
spam,data/100/121
spam,data/081/048
spam,data/088/035
spam,data/017/036
spam,data/014/251
ham,data/000/247
ham,data/001/193
ham,data/040/127
ham,data/002/120
spam,data/093/096
spam,data/106/019
ham,data/084/220
spam,data/000/219
ham,data/078/046
spam,data/015/180
ham,data/080/213
spam,data/115/138
ham,data/063/095
spam,data/044/002
spam,data/017/257
spam,data/055/065
spam,data/008/209
ham,data/056/094
ham,data/075/015
spam,data/062/134
spam,data/109/049
spam,data/062/252
spam,data/112/289
spam,data/107/284
spam,data/003/129
spam,data/048/297
spam,data/052/173
ham,data/060/109
spam,data/029/110
ham,data/093/008
spam,data/119/270
spam,data/065/137
spam,data/073/231
spam,data/119/226
spam,data/017/175
ham,data/016/038
spam,data/043/115
spam,data/084/038
spam,data/057/226
spam,data/035/205
ham,data/019/056
spam,data/120/269
spam,data/090/144
ham,data/100/111
ham,data/101/011
ham,data/074/017
ham,data/075/246
ham,data/058/012
spam,data/045/290
ham,data/017/055
spam,data/032/010
spam,data/052/279
spam,data/038/198
spam,data/023/213
spam,data/078/011
spam,data/109/166
spam,data/104/297
spam,data/109/250
ham,data/003/218
ham,data/001/277
ham,data/040/180
spam,data/120/113
spam,data/095/185
spam,data/105/088
ham,data/077/262
spam,data/075/082
spam,data/096/085
spam,data/050/159
ham,data/107/064
spam,data/009/284
spam,data/124/040
spam,data/025/062
spam,data/030/103
ham,data/058/005
ham,data/072/005
spam,data/039/090
spam,data/114/112
spam,data/117/014
ham,data/037/070
spam,data/094/193
spam,data/013/176
spam,data/024/253
ham,data/100/238
spam,data/104/251
ham,data/028/145
ham,data/102/280
spam,data/090/152
ham,data/074/243
ham,data/051/112
ham,data/095/065
ham,data/065/149
spam,data/023/178
ham,data/063/186
ham,data/007/209
spam,data/098/085
ham,data/013/093
spam,data/069/118
spam,data/021/017
spam,data/101/071
spam,data/051/253
spam,data/024/205
spam,data/063/220
ham,data/059/147
ham,data/024/181
ham,data/017/132
ham,data/057/169
ham,data/065/295
ham,data/060/015
spam,data/123/219
ham,data/069/096
spam,data/105/059
spam,data/007/071
ham,data/056/065
spam,data/083/247
spam,data/124/151
ham,data/077/216
ham,data/110/059
ham,data/074/073
spam,data/047/134
spam,data/103/232
spam,data/103/024
spam,data/040/171
spam,data/048/118
spam,data/029/143
spam,data/124/097
spam,data/074/126
ham,data/006/232
spam,data/079/008
ham,data/105/023
ham,data/114/124
spam,data/124/186
spam,data/094/258
spam,data/085/208
ham,data/011/235
spam,data/081/043
spam,data/075/070
spam,data/087/034
spam,data/024/033
spam,data/018/079
ham,data/110/109
ham,data/046/180
spam,data/033/171
spam,data/038/061
spam,data/065/251
spam,data/049/005
spam,data/066/209
ham,data/013/077
ham,data/016/290
spam,data/086/280
spam,data/024/104
spam,data/083/185
spam,data/090/228
spam,data/053/213
spam,data/080/170
ham,data/098/219
spam,data/067/192
spam,data/063/205
spam,data/072/228
spam,data/114/038
ham,data/097/069
spam,data/090/009
spam,data/125/292
spam,data/015/117
spam,data/057/292
spam,data/102/220
spam,data/014/271
spam,data/043/160
spam,data/074/188
ham,data/033/286
spam,data/086/089
spam,data/051/037
spam,data/006/223
spam,data/030/116
spam,data/020/271
spam,data/027/071
spam,data/035/022
spam,data/025/148
spam,data/030/187
ham,data/078/153
spam,data/085/076
ham,data/027/134
spam,data/119/094
ham,data/021/272
spam,data/068/027
ham,data/084/296
spam,data/093/015
spam,data/009/060
ham,data/053/208
spam,data/111/089
spam,data/005/160
spam,data/117/087
spam,data/077/025
spam,data/008/146
spam,data/009/246
spam,data/013/075
spam,data/064/276
ham,data/094/132
ham,data/014/182
spam,data/020/203
ham,data/083/283
spam,data/030/137
ham,data/004/052
spam,data/026/274
spam,data/048/259
spam,data/077/150
spam,data/007/244
ham,data/105/260
spam,data/049/019
spam,data/047/029
spam,data/079/265
spam,data/045/273
spam,data/036/117
ham,data/006/055
spam,data/008/196
ham,data/085/263
ham,data/019/018
ham,data/086/206
spam,data/025/290
spam,data/025/094
ham,data/064/107
ham,data/098/102
ham,data/057/008
ham,data/036/175
spam,data/041/241
spam,data/029/032
ham,data/072/061
ham,data/006/041
spam,data/108/143
spam,data/026/031
ham,data/103/158
ham,data/012/182
ham,data/122/110
spam,data/036/195
spam,data/040/033
spam,data/099/149
spam,data/053/283
spam,data/073/289
spam,data/037/056
spam,data/122/022
spam,data/101/120
spam,data/058/126
spam,data/070/183
spam,data/123/185
spam,data/081/046
ham,data/032/196
ham,data/108/192
spam,data/057/010
spam,data/063/102
ham,data/114/128
spam,data/008/216
spam,data/019/126
ham,data/121/100
spam,data/030/053
ham,data/054/224
spam,data/100/222
ham,data/021/003
spam,data/010/105
spam,data/012/224
spam,data/033/180
spam,data/029/028
spam,data/096/038
spam,data/108/191
ham,data/117/199
ham,data/003/229
spam,data/042/226
spam,data/015/089
spam,data/078/269
spam,data/028/126
spam,data/047/161
spam,data/082/103
spam,data/085/168
ham,data/003/158
ham,data/081/170
ham,data/087/261
spam,data/065/020
spam,data/078/177
ham,data/119/122
spam,data/026/291
ham,data/121/147
spam,data/004/260
ham,data/036/279
spam,data/115/150
ham,data/098/160
ham,data/051/142
spam,data/027/115
ham,data/055/215
ham,data/119/263
spam,data/026/191
spam,data/113/214
spam,data/125/126
ham,data/085/265
spam,data/082/009
spam,data/032/130
spam,data/030/022
spam,data/119/243
ham,data/075/223
spam,data/071/288
spam,data/033/146
spam,data/116/148
ham,data/007/249
ham,data/079/241
spam,data/086/005
spam,data/061/062
spam,data/079/185
spam,data/123/125
spam,data/113/272
spam,data/067/158
spam,data/025/289
spam,data/032/212
ham,data/050/277
spam,data/114/087
spam,data/093/225
spam,data/073/085
ham,data/081/032
spam,data/082/193
spam,data/063/074
spam,data/103/267
spam,data/009/213
spam,data/067/106
spam,data/019/193
spam,data/124/177
spam,data/006/275
ham,data/005/141
spam,data/056/144
ham,data/029/231
ham,data/081/168
spam,data/042/210
ham,data/000/207
ham,data/040/220
spam,data/035/132
spam,data/111/199
spam,data/101/040
spam,data/066/186
ham,data/001/126
ham,data/082/116
ham,data/124/168
spam,data/085/035
spam,data/017/070
ham,data/102/224
ham,data/010/082
spam,data/114/024
spam,data/125/199
spam,data/122/169
ham,data/003/146
ham,data/013/233
ham,data/053/101
spam,data/010/159
spam,data/079/090
ham,data/034/181
spam,data/034/229
spam,data/003/060
spam,data/012/263
ham,data/029/034
spam,data/073/161
spam,data/072/137
ham,data/065/158
spam,data/047/156
spam,data/012/087
spam,data/096/258
ham,data/039/161
spam,data/079/208
spam,data/009/024
spam,data/095/128
spam,data/001/160
spam,data/064/198
ham,data/055/210
ham,data/080/236
ham,data/007/084
ham,data/122/233
ham,data/104/045
ham,data/122/243
spam,data/052/061
ham,data/027/220
spam,data/044/138
ham,data/010/057
ham,data/083/077
spam,data/108/050
spam,data/065/030
spam,data/025/003
ham,data/043/204
spam,data/120/247
spam,data/043/048
spam,data/035/138
spam,data/021/106
spam,data/021/000
spam,data/065/246
spam,data/081/002
spam,data/030/173
spam,data/067/104
spam,data/059/058
spam,data/095/138
spam,data/055/121
ham,data/083/162
ham,data/063/214
ham,data/003/276
ham,data/116/128
ham,data/013/262
spam,data/117/224
spam,data/039/269
spam,data/057/167
ham,data/077/253
ham,data/124/172
ham,data/117/298
spam,data/032/101
spam,data/046/115
ham,data/105/045
spam,data/027/085
spam,data/032/194
ham,data/106/153
ham,data/101/108
ham,data/011/191
spam,data/099/048
spam,data/068/281
spam,data/108/109
spam,data/074/299
spam,data/084/181
spam,data/067/216
spam,data/056/206
spam,data/098/290
spam,data/005/149
spam,data/025/178
ham,data/072/094
ham,data/032/025
ham,data/102/271
spam,data/062/046
spam,data/066/090
ham,data/095/153
spam,data/053/094
ham,data/074/175
spam,data/053/070
spam,data/090/116
spam,data/118/228
spam,data/090/165
spam,data/084/210
spam,data/026/131
spam,data/025/084
spam,data/124/170
spam,data/037/235
ham,data/076/063
ham,data/068/006
spam,data/030/014
ham,data/051/027
spam,data/028/073
ham,data/089/126
spam,data/052/179
spam,data/022/120
spam,data/082/123
ham,data/014/144
spam,data/108/200
ham,data/050/157
spam,data/102/050
ham,data/071/268
spam,data/125/282
spam,data/081/138
spam,data/092/052
spam,data/083/112
ham,data/025/126
spam,data/102/166
spam,data/052/000
spam,data/051/119
spam,data/039/035
spam,data/044/001
spam,data/077/194
spam,data/039/249
ham,data/016/142
spam,data/077/056
ham,data/102/228
spam,data/120/166
ham,data/109/177
ham,data/014/127
spam,data/074/252
ham,data/049/196
spam,data/032/255
spam,data/040/299
spam,data/001/289
ham,data/076/199
spam,data/094/024
spam,data/003/078
ham,data/123/059
spam,data/084/207
spam,data/017/032
ham,data/119/273
spam,data/109/039
ham,data/096/146
spam,data/019/079
spam,data/064/154
spam,data/117/123
spam,data/065/260
spam,data/017/295
ham,data/114/155
ham,data/075/063
spam,data/123/161
spam,data/045/137
ham,data/024/074
ham,data/100/090
spam,data/123/089
spam,data/081/117
ham,data/000/038
ham,data/089/259
ham,data/102/068
spam,data/009/178
ham,data/019/264
ham,data/024/223
spam,data/067/207
ham,data/087/073
ham,data/016/125
spam,data/081/166
spam,data/120/053
spam,data/037/041
ham,data/022/244
ham,data/027/280
spam,data/033/260
spam,data/084/244
spam,data/053/090
spam,data/088/229
spam,data/069/108
spam,data/039/032
spam,data/081/101
spam,data/107/253
spam,data/116/203
spam,data/074/078
ham,data/006/208
spam,data/098/074
spam,data/046/263
spam,data/082/167
spam,data/002/026
spam,data/121/053
ham,data/075/113
spam,data/116/192
spam,data/037/191
spam,data/082/091
spam,data/006/226
spam,data/075/105
spam,data/031/045
ham,data/094/194
spam,data/087/211
ham,data/006/011
spam,data/003/062
ham,data/102/073
spam,data/054/248
spam,data/090/208
spam,data/035/245
ham,data/017/095
spam,data/087/105
spam,data/107/219
spam,data/087/121
spam,data/063/228
spam,data/023/125
ham,data/009/138
ham,data/057/099
spam,data/098/195
spam,data/069/063
ham,data/124/162
spam,data/011/008
ham,data/013/210
spam,data/065/187
spam,data/105/152
spam,data/008/123
spam,data/079/083
ham,data/007/037
spam,data/086/238
spam,data/035/299
spam,data/014/087
ham,data/002/084
ham,data/055/209
spam,data/087/170
spam,data/104/067
ham,data/093/196
ham,data/122/006
ham,data/029/252
spam,data/062/261
spam,data/055/025
spam,data/091/026
ham,data/092/229
spam,data/034/272
spam,data/066/013
spam,data/104/298
spam,data/073/259
ham,data/047/136
ham,data/008/130
spam,data/026/087
ham,data/008/176
spam,data/059/048
spam,data/042/138
spam,data/088/124
ham,data/067/023
spam,data/089/162
spam,data/041/271
spam,data/007/274
spam,data/084/152
spam,data/086/017
ham,data/060/196
spam,data/001/250
ham,data/058/174
ham,data/104/133
spam,data/040/164
ham,data/121/118
ham,data/045/228
ham,data/125/151
spam,data/080/054
spam,data/086/219
spam,data/048/160
spam,data/022/220
spam,data/052/186
ham,data/061/181
ham,data/009/137
ham,data/011/091
ham,data/101/020
spam,data/046/236
spam,data/046/207
spam,data/106/135
spam,data/004/064
spam,data/032/011
spam,data/044/190
spam,data/040/271
ham,data/084/205
ham,data/045/063
spam,data/080/168
spam,data/010/249
ham,data/044/293
spam,data/043/192
spam,data/000/090
ham,data/096/232
spam,data/015/130
ham,data/082/130
spam,data/094/291
ham,data/096/159
spam,data/077/028
spam,data/082/041
ham,data/119/113
spam,data/042/058
spam,data/032/053
ham,data/039/021
ham,data/045/112
spam,data/101/141
spam,data/115/012
ham,data/047/119
spam,data/118/127
ham,data/100/137
ham,data/070/022
spam,data/073/149
spam,data/122/148
spam,data/103/092
spam,data/059/011
spam,data/000/180
spam,data/023/292
spam,data/098/098
spam,data/026/144
spam,data/035/247
spam,data/019/241
spam,data/108/248
ham,data/074/220
ham,data/085/100
spam,data/081/107
spam,data/054/186
spam,data/026/050
spam,data/113/211
ham,data/032/004
ham,data/026/067
spam,data/010/294
spam,data/077/031
spam,data/074/209
spam,data/103/281
ham,data/032/001
ham,data/107/083
spam,data/067/200
spam,data/040/204
spam,data/076/006
spam,data/072/293
ham,data/124/221
spam,data/114/263
spam,data/115/049
spam,data/079/280
spam,data/106/051
ham,data/025/107
ham,data/007/131
spam,data/068/234
spam,data/057/290
spam,data/060/052
ham,data/029/172
ham,data/079/119
spam,data/048/125
ham,data/074/187
ham,data/107/113
ham,data/066/071
ham,data/018/200
spam,data/086/129
spam,data/017/122
spam,data/122/027
spam,data/031/286
spam,data/070/184
ham,data/028/062
ham,data/028/191
spam,data/072/107
spam,data/119/103
ham,data/032/205
spam,data/017/104
spam,data/024/158
spam,data/017/292
ham,data/034/136
spam,data/043/223
spam,data/082/165
spam,data/033/009
ham,data/095/270
spam,data/060/148
spam,data/114/097
spam,data/076/143
spam,data/099/077
spam,data/109/103
spam,data/010/120
ham,data/022/271
spam,data/006/109
spam,data/105/288
spam,data/038/285
ham,data/044/179
ham,data/068/018
ham,data/079/256
ham,data/122/023
spam,data/104/156
ham,data/060/166
ham,data/034/001
spam,data/116/206
ham,data/049/257
spam,data/013/231
spam,data/118/242
ham,data/068/128
spam,data/106/089
spam,data/118/191
spam,data/055/269
ham,data/052/098
spam,data/015/280
spam,data/029/133
spam,data/003/064
spam,data/049/141
ham,data/012/024
spam,data/078/295
spam,data/119/241
ham,data/101/198
ham,data/064/162
spam,data/109/104
spam,data/120/033
spam,data/045/277
spam,data/013/209
spam,data/096/054
spam,data/081/105
spam,data/023/130
ham,data/123/173
ham,data/102/108
ham,data/110/075
ham,data/107/085
spam,data/032/252
spam,data/050/088
spam,data/022/171
